#,Name,RA,DE
1,J125827.84+285826.7,194.616,28.9741
2,J125856.16+282749.6,194.734,28.4638
3,J125805.52+281434.0,194.523,28.2428
4,J125436.72+285548.7,193.653,28.9302
5,J130137.20+282748.6,195.405,28.4635
6,J130030.72+282047.0,195.128,28.3464
7,J125928.56+280507.4,194.869,28.0854
8,J125931.44+280247.7,194.881,28.0466
9,J130051.60+280234.4,195.215,28.0429
10,J130008.16+275837.2,195.034,27.977
11,J125926.64+275954.2,194.861,27.9984
12,J130028.32+275820.6,195.118,27.9724
13,J125940.32+275805.5,194.918,27.9682
14,J130055.92+274727.2,195.233,27.7909
15,J130033.60+273815.7,195.14,27.6377
16,J125949.20+265828.2,194.955,26.9745
17,J125952.08+265816.3,194.967,26.9712
18,J130708.16+283759.8,196.784,28.6333
19,J125441.76+285634.4,193.674,28.9429
20,J130637.92+285047.4,196.658,28.8465
21,J130322.80+275609.2,195.845,27.9359
22,J125722.56+290959.4,194.344,29.1665
23,J125843.20+285436.3,194.68,28.9101
24,J125648.00+281131.9,194.2,28.1922
25,J125823.76+281944.4,194.599,28.329
26,J130905.52+282927.2,197.273,28.4909
27,J130921.60+281841.7,197.34,28.3116
28,J125457.84+281830.6,193.741,28.3085
29,J125939.84+285535.7,194.916,28.9266
30,J130013.92+284941.5,195.058,28.8282
31,J130124.96+284037.9,195.354,28.6772
32,J130004.32+283612.6,195.018,28.6035
33,J130009.12+281013.8,195.038,28.1705
34,J130022.08+281449.5,195.092,28.2471
35,J125920.16+281152.4,194.834,28.1979
36,J125919.92+280503.4,194.833,28.0843
37,J130022.08+280249.5,195.092,28.0471
38,J130054.48+280027.3,195.227,28.0076
39,J125935.76+275733.4,194.899,27.9593
40,J130004.56+275915.0,195.019,27.9875
41,J130040.80+275947.7,195.17,27.9966
42,J125932.88+275900.9,194.887,27.9836
43,J125925.44+275823.5,194.856,27.9732
44,J125923.28+275441.7,194.847,27.9116
45,J125944.40+275444.6,194.935,27.9124
46,J130021.60+275354.9,195.09,27.8986
